title,console,genre,publisher,developer,total_shipped,release_date,year
Tetris,Series,Puzzle,The Tetris Company,Alexey Pajitnov,520.0,1988-01-01,1988
Pokemon,Series,Role-Playing,Nintendo,Game Freak,516.33,1998-09-28,1998
Call of Duty,Series,Shooter,Activision,Infinity Ward,500.0,2003-10-29,2003
Grand Theft Auto,Series,Action-Adventure,Rockstar Games,Rockstar North,475.0,1998-03-27,1998
Super Mario,Series,Platform,Nintendo,Nintendo,434.57,1983-07-20,1983
Minecraft,Series,Sandbox,Mojang,Mojang,350.0,2011-11-18,2011
FIFA,Series,Sports,EA Sports,Extended Play Productions (1991-1997),325.0,1993-12-15,1993
Assassin's Creed,Series,Action-Adventure,Ubisoft,Ubisoft,251.5,2007-11-13,2007
Resident Evil,Series,Action-Adventure,Capcom,Capcom,213.0,1996-03-30,1996
Final Fantasy,Series,Role-Playing,Square,Square,212.0,1987-12-18,1987
Mario Kart,Series,Racing,Nintendo,Nintendo,208.5,1992-09-01,1992
Lego,Series,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,203.22,1997-09-26,1997
The Sims,Series,Simulation,Electronic Arts,Maxis,200.0,2000-02-04,2000
NBA 2K,Series,Sports,2K Games,Visual Concepts,175.0,1999-11-10,1999
The Legend of Zelda,Series,Action-Adventure,Nintendo,Nintendo,161.04,1987-07-14,1987
Tomb Raider,Series,Action-Adventure,Eidos Interactive,Core Design,153.0,1996-11-14,1996
Madden NFL,Series,Sports,Electronic Arts,Park Place Productions,150.0,1988-06-01,1988
Need for Speed,Series,Racing,Electronic Arts,EA Black Box,150.0,1994-08-31,1994
Wii/Nintendo Sports,Series,Sports,Nintendo,Nintendo,134.36,2006-11-19,2006
Monster Hunter,Series,Role-Playing,Capcom,Capcom,131.0,2004-09-21,2004
Red Dead,Series,Action-Adventure,Rockstar Games,Rockstar San Diego,116.0,2004-05-04,2004
Sonic the Hedgehog,Series,Platform,Sega,Sonic Team,115.12,1991-06-23,1991
Pro Evolution Soccer/eFootball,Series,Sports,Konami,Konami,112.5,1995-12-22,1995
Mortal Kombat,Series,Fighting,Warner Bros. Interactive Entertainment,Avalanche Software,101.8,1992-10-08,1992
Gran Turismo,Series,Racing,Sony Interactive Entertainment,Polyphony Digital,100.0,1998-05-12,1998
Borderlands,Series,Shooter,2K Games,Gearbox Software,100.0,2009-10-20,2009
WWE 2K,Series,Fighting,2K Games,Visual Concepts,98.0,2000-03-02,2000
Dragon Quest,Series,Role-Playing,Square,ArtePiazza,97.0,1986-05-27,1986
Battlefield,Series,Shooter,Electronic Arts,EA DICE,95.7,2002-09-10,2002
The Witcher,Series,Role-Playing,CD Projekt,CD Projekt Red Studio,90.0,2007-10-30,2007
Mario Party,Series,Party,Nintendo,Hudson Soft,88.39,1999-02-01,1999
The Elder Scrolls,Series,Role-Playing,Bethesda Softworks,Bethesda Softworks,87.7,1994-03-25,1994
Animal Crossing,Series,Simulation,Nintendo,Nintendo,85.21,2002-09-16,2002
Harry Potter/Wizarding World,Series,Action-Adventure,Electronic Arts,Griptonite Games,82.7,2001-11-15,2001
Halo,Series,Shooter,Microsoft Game Studios,Bungie,81.0,2001-11-15,2001
Dragon Ball,Series,Role-Playing,Bandai,Tose,80.49,1986-09-27,1986
Just Dance,Series,Music,Ubisoft,Ubisoft,80.0,2009-11-17,2009
Civilization,Series,Strategy,Microprose,Firaxis Games,80.0,1991-09-01,1991
Super Smash Bros.,Series,Fighting,Nintendo,Nintendo,79.44,1999-04-26,1999
God of War,Series,Action,Sony Interactive Entertainment,SIE Santa Monica Studio,76.55,2005-03-22,2005
Ark,Series,Action-Adventure,Studio Wildcard,Studio Wildcard,76.26,2017-08-27,2017
Crash Bandicoot,Series,Platform,Sony Interactive Entertainment,Naughty Dog,75.0,1996-09-09,1996
PUBG,Series,Shooter,PUBG Corporation,PUBG Corporation,75.0,2017-12-20,2017
Worms,Series,Strategy,Team17,Team17,75.0,1995-10-31,1995
Donkey Kong,Series,Platform,Nintendo,Nintendo,71.55,1981-07-31,1981
Terraria,Series,Action-Adventure,505 Games,Re-Logic,70.0,2011-05-16,2011
Metal Gear,Series,Action-Adventure,Konami,Konami,66.4,1987-07-13,1987
Counter-Strike,Series,Shooter,Valve,Valve,65.0,2000-11-09,2000
The Oregon Trail,Series,Education,MECC,MECC,65.0,1971-12-03,1971
ARMA,Series,Shooter,505 Games,Bohemia Interactive,64.28,2007-05-04,2007
Far Cry,Series,Shooter,Ubisoft,Ubisoft,62.5,2004-03-23,2004
Tekken,Series,Fighting,Namco,Bandai Namco Studios,61.0,1994-12-11,1994
Street Fighter,Series,Fighting,Capcom,Capcom,60.0,1987-08-30,1987
Star Wars: Battlefront,Series,Shooter,LucasArts,Pandemic Studios,60.0,2004-09-21,2004
Spider-Man,Series,Action-Adventure,Parker Brothers,Parker Brothers,59.0,1982-01-01,1982
Warriors,Series,Action,KOEI,Omega Force,56.67,1997-06-30,1997
Diablo,Series,Role-Playing,Blizzard Entertainment,Blizzard North,55.0,1997-01-03,1997
Lego Star Wars,Series,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,53.2,2005-03-29,2005
Marvel's Spider-Man,Series,Action-Adventure,Sony Interactive Entertainment,Insomniac Games,51.0,2018-09-07,2018
Kirby,Series,Platform,Nintendo,HAL Laboratory,50.82,1992-08-01,1992
Total War,Series,Strategy,Sega,Creative Assembly,50.48,2000-06-13,2000
The Walking Dead: Telltale Games Series,Series,Adventure,Telltale Games,Telltale Games,50.0,2012-04-24,2012
Bejeweled,Series,Puzzle,PopCap Games,PopCap Games,50.0,2001-05-30,2001
Destiny,Series,Shooter,Activision,Bungie,50.0,2014-09-09,2014
Stardew Valley,Series,Simulation,Chucklefish,ConcernedApe,50.0,2016-02-26,2016
Mega Man,Series,Platform,Capcom,Capcom,45.0,1987-12-17,1987
Uncharted,Series,Shooter,Sony Interactive Entertainment,Naughty Dog,44.33,2007-11-20,2007
Wii Fit,Series,Misc,Nintendo,Nintendo,43.8,2008-05-21,2008
BioShock,Series,Shooter,2K Games,Irrational Games,43.0,2007-08-21,2007
Souls,Series,Role-Playing,Bandai Namco Entertainment,From Software,42.79,2009-10-06,2009
Farming Simulator,Series,Simulation,Astragon,Giants Software,42.0,2008-04-14,2008
Gears of War,Series,Shooter,Microsoft Game Studios,Epic Games,41.0,2006-11-07,2006
Devil May Cry,Series,Action,Capcom,Capcom,41.0,2001-10-16,2001
Payday,Series,Shooter,Daybreak Games,Overkill Software,40.7,2011-10-18,2011
World of WarCraft,Series,MMO,Blizzard Entertainment,Blizzard Entertainment,40.6,2004-11-23,2004
Tom Clancy's Ghost Recon,Series,Shooter,Ubisoft,Red Storm Entertainment,40.0,2001-11-13,2001
Guitar Hero,Series,Music,Activision,Harmonix,40.0,2005-11-08,2005
Horizon,Series,Action-Adventure,Sony Interactive Entertainment,Guerrilla Games,40.0,2017-02-28,2017
Hitman,Series,Action-Adventure,Eidos Interactive,IO Interactive,40.0,2000-11-21,2000
Dark Souls,Series,Role-Playing,Bandai Namco Entertainment,From Software,39.71,2011-10-04,2011
Medal of Honor,Series,Shooter,Electronic Arts,"2015, Inc.",39.0,1999-10-31,1999
Naruto: Ultimate Ninja,Series,Fighting,Bandai Namco Entertainment,CyberConnect2,37.86,2006-06-26,2006
The Last of Us,Series,Action-Adventure,Sony Interactive Entertainment,Naughty Dog,37.45,2013-06-14,2013
Yakuza/Like a Dragon,Series,Action-Adventure,Sega,Sega,36.47,2006-09-05,2006
Kingdom Hearts,Series,Role-Playing,Square Enix,Square,36.0,2002-09-17,2002
Tom Clancy's Rainbow Six,Series,Shooter,Ubisoft,Ubisoft,36.0,1998-08-21,1998
Fallout,Series,Role-Playing,Bethesda Softworks,Interplay Entertainment,35.9,1997-10-10,1997
Brain Age,Series,Puzzle,Nintendo,Nintendo,35.16,2006-04-16,2006
Elden Ring,Series,Role-Playing,Bandai Namco Entertainment,From Software,35.0,2022-02-25,2022
NBA Live,Series,Sports,EA Sports,EA Canada,35.0,1994-10-01,1994
Ratchet & Clank,Series,Shooter,Sony Interactive Entertainment,Insomniac Games,33.71,2002-11-04,2002
Saints Row,Series,Sandbox,THQ,Volition,33.7,2006-08-29,2006
Football Manager,Series,Simulation,Sega,Sports Interactive,33.33,2004-11-05,2004
Half-life,Series,Shooter,Valve,Valve,33.1,1998-11-19,1998
James Bond/007,Series,Action-Adventure,Parker Bros.,Richard Shepherd Software,32.7,1983-01-01,1983
Yu-Gi-Oh!,Series,Strategy,Konami,Konami,32.6,2002-03-20,2002
Tales of,Series,Role-Playing,Namco,Bandai Namco Studios,31.21,1998-09-30,1998
Tony Hawk's,Series,Sports,Activision,Neversoft,31.12,1999-09-29,1999
Tom Clancy's Splinter Cell,Series,Action-Adventure,Ubisoft,Ubisoft,31.0,2002-11-17,2002
Mario & Sonic at the Olympic Games,Series,Sports,Sega,Sega,30.9,2007-11-06,2007
Persona,Series,Role-Playing,Atlus,Atlus,30.88,1996-11-01,1996
Age of Empires,Series,Strategy,Microsoft,Ensemble Studios,30.82,1997-10-15,1997
Splatoon,Series,Shooter,Nintendo,Nintendo,30.51,2015-05-29,2015
Command & Conquer,Series,Strategy,Electronic Arts,Westwood Studios,30.0,1995-09-26,1995
Spyro,Series,Platform,Sony Interactive Entertainment,Insomniac Games,30.0,1998-09-10,1998
Dying Light,Series,Action-Adventure,Techland,Techland,30.0,2015-01-27,2015
Wii Play,Series,Party,Nintendo,Nintendo,29.66,2007-02-12,2007
Nintendogs,Series,Simulation,Nintendo,Nintendo,28.65,2005-08-22,2005
Yoshi,Series,Platform,Nintendo,Nintendo,27.66,1992-06-01,1992
Baldur's Gate,Series,Role-Playing,Interplay Entertainment Corp.,BioWare,27.47,2000-07-31,2000
Portal,Series,Puzzle,Valve,Valve,27.03,2007-10-10,2007
Jikkyo Powerful Pro Yakyu,Series,Sports,Konami,Konami,26.8,1994-03-11,1994
Rayman,Series,Platform,Ubisoft,Ubisoft,26.0,1995-09-19,1995
